sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,009;2;;300rounds;Yes;No;2;0,62403;1,00000;0,00000;0,29719;1,62403;Caduceus@0;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@1;1.0;0.6240349209663196;1.0;0.6240349209663196;1.0;0.6240349209663196;0.0;0.0;1.0;0.6240349209663196;University_util1.xml;University_util2.xml
;2;Session genius.core.session.Session@51cdd8a failed: Failed to execute protocol: Execution failed of boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@2:java.lang.NumberFormatException: For input string: "99,665": For input string: "99,665":[boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t, agents.anac.y2016.caduceus.Caduceus];300rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t;Caduceus;0.0;0.0;0.0;0.0;;;;;;;University_util1;University_util2
0,005;2;;300rounds;Yes;No;2;0,62403;1,00000;0,00000;0,29719;1,62403;Caduceus@4;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@5;1.0;0.6240349209663196;1.0;0.6240349209663196;1.0;0.6240349209663196;0.0;0.0;1.0;0.6240349209663196;University_util1.xml;University_util2.xml
;2;Session genius.core.session.Session@48503868 failed: Failed to execute protocol: Execution failed of boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@6:java.lang.NumberFormatException: For input string: "99,665": For input string: "99,665":[boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t, agents.anac.y2016.caduceus.Caduceus];300rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t;Caduceus;0.0;0.0;0.0;0.0;;;;;;;University_util1;University_util2
0,005;2;;300rounds;Yes;No;2;0,62403;1,00000;0,00000;0,29719;1,62403;Caduceus@8;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@9;1.0;0.6240349209663196;1.0;0.6240349209663196;1.0;0.6240349209663196;0.0;0.0;1.0;0.6240349209663196;University_util1.xml;University_util2.xml
;2;Session genius.core.session.Session@5a1c0542 failed: Failed to execute protocol: Execution failed of boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@10:java.lang.NumberFormatException: For input string: "99,665": For input string: "99,665":[boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t, agents.anac.y2016.caduceus.Caduceus];300rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t;Caduceus;0.0;0.0;0.0;0.0;;;;;;;University_util1;University_util2
0,004;2;;300rounds;Yes;No;2;0,62403;1,00000;0,00000;0,29719;1,62403;Caduceus@12;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@13;1.0;0.6240349209663196;1.0;0.6240349209663196;1.0;0.6240349209663196;0.0;0.0;1.0;0.6240349209663196;University_util1.xml;University_util2.xml
;2;Session genius.core.session.Session@5f282abb failed: Failed to execute protocol: Execution failed of boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@14:java.lang.NumberFormatException: For input string: "99,665": For input string: "99,665":[boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t, agents.anac.y2016.caduceus.Caduceus];300rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t;Caduceus;0.0;0.0;0.0;0.0;;;;;;;University_util1;University_util2
0,004;2;;300rounds;Yes;No;2;0,62403;1,00000;0,00000;0,29719;1,62403;Caduceus@16;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@17;1.0;0.6240349209663196;1.0;0.6240349209663196;1.0;0.6240349209663196;0.0;0.0;1.0;0.6240349209663196;University_util1.xml;University_util2.xml
;2;Session genius.core.session.Session@3b088d51 failed: Failed to execute protocol: Execution failed of boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t@18:java.lang.NumberFormatException: For input string: "99,665": For input string: "99,665":[boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t, agents.anac.y2016.caduceus.Caduceus];300rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2012.AC_TheNegotiatorReloaded_bd_t_ad_a_b_c-negotiator.boaframework.opponentmodel.IAMhagglerBayesianModel_u_b-negotiator.boaframework.omstrategy.OfferBestN_n_t;Caduceus;0.0;0.0;0.0;0.0;;;;;;;University_util1;University_util2
